encoding,compression,scope,entities,source_bytes,payload_bytes,ratio,packets,entities_per_packet,min_entities_per_packet,max_entities_per_packet,compress_us,decompress_us,complete_probability,expected_usable_fraction
full_f32,none,per_packet,10000,290000,290000,1,244,40.98360656,37,41,0,0,0.08609689351,0.99
full_f32,zstd,whole_snapshot,10000,290000,268862,0.9271112644,225,44.47916667,0,0,255.7164083,245.9335817,0.1043964664,0.1043964664
full_f32,zstd,per_packet,10000,290000,280345,0.966706954,238,42.04635441,1,43,1199.222833,579.34367,0.09160239632,0.99
full_f32,zstd_dict,whole_snapshot,10000,290000,268866,0.9271242816,225,44.47751323,0,0,276.7423,244.60791,0.1043876943,0.1043876943
full_f32,zstd_dict,per_packet,10000,290000,275216,0.9490197414,233,42.91845494,11,46,1457.877758,272.5896,0.09616130339,0.99
full_quantized,none,per_packet,10000,150000,150000,1,125,80,80,80,0,0,0.2847077733,0.99
full_quantized,zstd,whole_snapshot,10000,150000,140312,0.9354104444,117,85.47008547,0,0,132.7273583,129.3164033,0.3085444706,0.3085444706
full_quantized,zstd,per_packet,10000,150000,143648,0.9576543889,121,82.6446281,31,86,603.90626,293.6781333,0.2963865874,0.99
full_quantized,zstd_dict,whole_snapshot,10000,150000,140316,0.9354371111,117,85.47008547,0,0,146.841045,131.1282317,0.3085444706,0.3085444706
full_quantized,zstd_dict,per_packet,10000,150000,143585,0.9572360556,121,82.6446281,13,88,750.834485,185.9470717,0.2963865874,0.99
delta_quantized,none,per_packet,10000,116996,116996,1,98,101.9549234,1,104,0,0,0.3731530602,0.99
delta_quantized,zstd,whole_snapshot,10000,116996,91682,0.78362978,77,129.9982912,0,0,137.55284,85.19593167,0.461571378,0.461571378
delta_quantized,zstd,per_packet,10000,116996,93469,0.7989087644,79,126.6769447,1,135,672.0928083,289.99868,0.452310006,0.99
delta_quantized,zstd_dict,whole_snapshot,10000,116996,81229,0.6942893331,68,147.0588235,0,0,576.7710617,141.91003,0.5048858888,0.5048858888
delta_quantized,zstd_dict,per_packet,10000,116996,90412,0.7727790177,76,131.5789474,31,150,764.6918683,192.5426167,0.4658807752,0.99
